City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,15.37,84,45,9.43,SH,1686145311
1,vila velha,-20.3297,-40.2925,24.97,66,0,1.54,BR,1686145311
2,bethel,41.3712,-73.414,17.52,69,0,1.54,US,1686145312
3,grand falls-windsor,48.9332,-55.6649,11.39,92,100,0.89,CA,1686144609
4,new kingman-butler,35.265,-114.0323,20.66,17,100,2.04,US,1686145312
5,port-aux-francais,-49.35,70.2167,2.93,98,100,13.37,TF,1686145312
6,lobito,-12.3481,13.5456,23.72,76,53,3.2,AO,1686145313
7,vernon,50.2581,-119.2691,13.85,47,0,3.09,CA,1686145265
8,palmer,42.1584,-72.3287,16.46,64,75,3.09,US,1686145313
9,georgetown,5.4112,100.3354,28.97,79,20,3.6,MY,1686145274
10,iqaluit,63.7506,-68.5145,1.85,100,100,2.06,CA,1686145313
11,waitangi,-43.9535,-176.5597,10.46,88,100,2.08,NZ,1686144644
12,mocimboa,-11.3167,40.35,27.18,69,15,5.06,MZ,1686145314
13,susuman,62.7833,148.1667,10.93,70,98,1.56,RU,1686144876
14,la'ie,21.6477,-157.9253,24.98,80,15,1.79,US,1686144881
15,grytviken,-54.2811,-36.5092,1.99,99,100,1.91,GS,1686145314
16,dudinka,69.4058,86.1778,12.57,78,100,5.91,RU,1686144744
17,yaren,-0.5472,166.916,28.87,76,100,4.89,NR,1686145315
18,amos,48.5669,-78.1162,13.64,42,74,5.95,CA,1686145315
19,verkhnevilyuysk,63.4453,120.3167,8.62,68,25,1.35,RU,1686145315
20,kirksville,40.1948,-92.5833,21.97,93,0,1.54,US,1686145315
21,christchurch,-43.5333,172.6333,8.28,87,75,2.06,NZ,1686144743
22,bilibino,68.0546,166.4372,8.75,59,9,3.02,RU,1686145316
23,vilyuysk,63.7553,121.6247,10.83,58,100,1.69,RU,1686144558
24,sitka,57.0531,-135.33,8.94,87,40,1.54,US,1686145316
25,sandnessjoen,66.0217,12.6316,8.29,87,75,4.63,NO,1686144726
26,lhasa,29.65,91.1,17.0,19,2,2.29,CN,1686145316
27,bagneres-de-bigorre,43.0667,0.15,26.06,57,100,2.57,FR,1686145317
28,nilsia,63.2,28.0833,13.4,52,81,1.64,FI,1686145317
29,isafjordur,66.0755,-23.124,8.02,65,40,6.17,IS,1686145317
30,nacozari viejo,30.4,-109.65,18.24,36,0,1.91,MX,1686145317
31,prince george,53.9166,-122.753,9.23,76,0,1.34,CA,1686145100
32,labrador city,52.9463,-66.9114,3.95,100,100,7.2,CA,1686145318
33,tiksi,71.6872,128.8694,2.15,86,54,1.75,RU,1686145318
34,zakynthos,37.7914,20.8953,24.68,69,75,2.06,GR,1686145318
35,xinmin,41.9908,122.8253,17.59,78,68,1.6,CN,1686145318
36,wailua homesteads,22.0669,-159.378,21.44,89,75,2.06,US,1686145318
37,atafu village,-8.5421,-172.5159,28.45,74,56,3.26,TK,1686145318
38,blackmans bay,-43.0167,147.3167,13.07,82,100,4.23,AU,1686145319
39,puerto natales,-51.7236,-72.4875,1.25,86,40,5.14,CL,1686145114
40,longyearbyen,78.2186,15.6401,3.91,75,0,3.6,SJ,1686145319
41,aleksandrovsk-sakhalinskiy,50.8975,142.1561,10.35,96,98,0.5,RU,1686145319
42,touros,-5.1989,-35.4608,28.81,69,36,6.15,BR,1686145319
43,adamstown,-25.066,-130.1015,21.61,71,65,7.27,PN,1686145320
44,college,64.8569,-147.8028,15.44,59,75,1.54,US,1686145320
45,punta arenas,-53.15,-70.9167,3.01,83,79,7.99,CL,1686145320
46,qaqortoq,60.7167,-46.0333,3.92,82,22,1.86,GL,1686145320
47,sittwe,20.15,92.9,26.94,85,100,3.56,MM,1686145320
48,albany,42.6001,-73.9662,15.1,64,70,5.5,US,1686145321
49,kaa-khem,51.6833,94.7333,24.53,32,78,1.04,RU,1686144741
50,west island,-12.1568,96.8225,26.99,74,75,8.75,CC,1686145321
51,olonkinbyen,70.9221,-8.7187,0.59,92,100,3.18,SJ,1686145321
52,udachny,66.4167,112.4,13.03,37,100,4.78,RU,1686145321
53,gopamau,27.55,80.2833,37.48,15,1,3.46,IN,1686145322
54,afaahiti,-17.75,-149.2833,22.93,70,97,7.44,PF,1686145322
55,ilulissat,69.2167,-51.1,0.01,80,75,6.17,GL,1686145322
56,tra vinh,9.9347,106.3453,24.63,90,100,1.06,VN,1686145323
57,ushuaia,-54.8,-68.3,1.81,93,40,5.14,AR,1686145323
58,hermanus,-34.4187,19.2345,17.67,64,65,3.13,ZA,1686145323
59,ribeira grande,38.5167,-28.7,21.22,56,40,6.26,PT,1686145323
60,vorgashor,67.5833,63.95,7.45,56,100,6.44,RU,1686145323
61,papatowai,-46.5619,169.4708,4.11,79,17,1.95,NZ,1686145324
62,chakwal,32.9334,72.8585,34.24,25,10,1.67,PK,1686145324
63,inarajan village,13.2736,144.7484,27.54,93,100,6.54,GU,1686145324
64,puerto ayora,-0.7393,-90.3518,25.31,95,100,4.49,EC,1686145324
65,caldas novas,-17.7417,-48.625,25.03,32,5,3.29,BR,1686145324
66,utrik,11.2278,169.8474,27.46,84,23,8.59,MH,1686145325
67,floro,61.5996,5.0328,19.57,67,20,7.72,NO,1686145027
68,constantia,44.1833,28.65,22.61,57,100,5.47,RO,1686145325
69,darwin,-12.4611,130.8418,26.99,78,0,1.54,AU,1686144601
70,as sulayyil,20.4607,45.5779,42.14,9,3,4.34,SA,1686145325
71,diebougou,10.9667,-3.25,39.53,25,100,0.92,BF,1686145326
72,luderitz,-26.6481,15.1594,15.76,69,0,5.44,NA,1686145326
73,leava,-14.3,-178.1667,26.92,74,100,1.03,WF,1686145326
74,san patricio,28.017,-97.5169,26.92,72,20,1.51,US,1686145326
75,kapa'a,22.0752,-159.319,22.18,89,75,2.06,US,1686145326
76,al jawf,29.5,38.75,35.17,12,0,7.27,SA,1686145327
77,nova sintra,14.8667,-24.7167,22.29,75,11,2.25,CV,1686145327
78,uturoa,-16.7333,-151.4333,26.5,69,40,6.61,PF,1686145327
79,stanley,54.868,-1.6985,13.49,74,75,3.6,GB,1686145227
80,genhe,50.7833,121.5167,9.02,96,100,3.54,CN,1686145328
81,tidjikja,18.5564,-11.4271,40.54,9,85,3.21,MR,1686144744
82,khandyga,62.6667,135.6,13.17,69,83,2.13,RU,1686145328
83,ust'-ilimsk,58.0006,102.6619,17.26,79,100,1.58,RU,1686144735
84,calimanesti,45.2333,24.3333,20.85,44,86,2.58,RO,1686145328
85,babura,12.7731,9.0158,35.7,32,99,4.61,NG,1686145329
86,whitehorse,60.7161,-135.0538,5.57,80,40,5.14,CA,1686145245
87,muynoq,43.7683,59.0214,27.35,46,92,8.95,UZ,1686145329
88,rodolfo sanchez taboada,31.7167,-116.5667,16.17,73,3,0.89,MX,1686145329
89,chonchi,-42.6128,-73.8092,7.29,92,100,2.71,CL,1686145330
